CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
0001,0,19,15,39
0002,0,21,15,81
0003,1,20,16,6
0004,1,23,16,77
0005,1,31,17,40
0006,1,22,17,76
0007,1,35,18,6
0008,1,23,18,94
0009,0,64,19,3
0010,1,30,19,72
0011,0,67,19,14
0012,1,35,19,99
0013,1,58,20,15
0014,1,24,20,77
0015,0,37,20,13
0016,0,22,20,79
0017,1,35,21,35
0018,0,20,21,66
0019,0,52,23,29
0020,1,35,23,98
0021,0,35,24,35
0022,0,25,24,73
0023,1,46,25,5
0024,0,31,25,73
0025,1,54,28,14
0026,0,29,28,82
0027,1,45,28,32
0028,0,35,28,61
0029,1,40,29,31
0030,1,23,29,87
0031,0,60,30,4
0032,1,21,30,73
0033,0,53,33,4
0034,0,18,33,92
0035,1,49,33,14
0036,1,21,33,81
0037,1,42,34,17
0038,1,30,34,73
0039,1,36,37,26
0040,1,20,37,75
0041,1,65,38,35
0042,0,24,38,92
0043,0,48,39,36
0044,1,31,39,61
0045,1,49,39,28
0046,1,24,39,65
0047,1,50,40,55
0048,1,27,40,47
0049,1,29,40,42
0050,1,31,40,42
0051,1,49,42,52
0052,0,33,42,60
0053,1,31,43,54
0054,0,59,43,60
0055,1,50,43,45
0056,0,47,43,41
0057,1,51,44,50
0058,0,69,44,46
0059,1,27,46,51
0060,0,53,46,46
0061,0,70,46,56
0062,0,19,46,55
0063,1,67,47,52
0064,1,54,47,59
0065,0,63,48,51
0066,0,18,48,59
0067,1,43,48,50
0068,1,68,48,48
0069,0,19,48,59
0070,1,32,48,47
0071,0,70,49,55
0072,1,47,49,42
0073,1,60,50,49
0074,1,60,50,56
0075,0,59,54,47
0076,0,26,54,54
0077,1,45,54,53
0078,0,40,54,48
0079,1,23,54,52
0080,1,49,54,42
0081,0,57,54,51
0082,0,38,54,55
0083,0,67,54,41
0084,1,46,54,44
0085,1,21,54,57
0086,0,48,54,46
0087,1,55,57,58
0088,1,22,57,55
0089,1,34,58,60
0090,1,50,58,46
0091,1,68,59,55
0092,0,18,59,41
0093,0,48,60,49
0094,1,40,60,40
0095,1,32,60,42
0096,0,24,60,52
0097,1,47,60,47
0098,1,27,60,50
0099,0,48,61,42
0100,0,20,61,49
0101,1,23,62,41
0102,1,49,62,48
0103,0,67,62,59
0104,0,26,62,55
0105,0,49,62,56
0106,1,21,62,42
0107,1,66,63,50
0108,0,54,63,46
0109,0,68,63,43
0110,0,66,63,48
0111,0,65,63,52
0112,1,19,63,54
0113,1,38,64,42
0114,0,19,64,46
0115,1,18,65,48
0116,1,19,65,50
0117,1,63,65,43
0118,1,49,65,59
0119,1,51,67,43
0120,1,50,67,57
0121,0,27,67,56
0122,1,38,67,40
0123,1,40,69,58
0124,0,39,69,91
0125,1,23,70,29
0126,1,31,70,77
0127,0,43,71,35
0128,0,40,71,95
0129,0,59,71,11
0130,0,38,71,75
0131,0,47,71,9
0132,0,39,71,75
0133,1,25,72,34
0134,1,31,72,71
0135,0,20,73,5
0136,1,29,73,88
0137,1,44,73,7
0138,0,32,73,73
0139,0,19,74,10
0140,1,35,74,72
0141,1,57,75,5
0142,0,32,75,93
0143,1,28,76,40
0144,1,32,76,87
0145,0,25,77,12
0146,0,28,77,97
0147,0,48,77,36
0148,1,32,77,74
0149,1,34,78,22
0150,0,34,78,90
0151,0,43,78,17
0152,0,39,78,88
0153,1,44,78,20
0154,1,38,78,76
0155,1,47,78,16
0156,1,27,78,89
0157,0,37,78,1
0158,1,30,78,78
0159,0,34,78,1
0160,1,30,78,73
0161,1,56,79,35
0162,1,29,79,83
0163,0,19,81,5
0164,1,31,81,93
0165,0,50,85,26
0166,1,36,85,75
0167,0,42,86,20
0168,1,33,86,95
0169,1,36,87,27
0170,0,32,87,63
0171,0,40,87,13
0172,0,28,87,75
0173,0,36,87,10
0174,0,36,87,92
0175,1,52,88,13
0176,1,30,88,86
0177,0,58,88,15
0178,0,27,88,69
0179,0,59,93,14
0180,0,35,93,90
0181,1,37,97,32
0182,1,32,97,86
0183,0,46,98,15
0184,1,29,98,88
0185,1,41,99,39
0186,0,30,99,97
0187,1,54,101,24
0188,0,28,101,68
0189,1,41,103,17
0190,1,36,103,85
0191,1,34,103,23
0192,1,32,103,69
0193,0,33,113,8
0194,1,38,113,91
0195,1,47,120,16
0196,1,35,120,79
0197,1,45,126,28
0198,0,32,126,74
0199,0,32,137,18
0200,0,30,137,83
